id;name;online
177;Applied Engineering;Yes
178;Engineering and Applied Sciences;Yes
179;Engineering Science;Yes
180;International Journal of Science and Qualitative Analysis;No
181;International Journal of Science, Technology and Society;No
182;Science, Technology & Public Policy;No
183;Science Research;No
184;Frontiers;No
185;Innovation;Yes
186;Research & Development;Yes
187;Science Development;No
188;Applied and Computational Mathematics;No
189;Automation, Control and Intelligent Systems;Yes
190;Biomedical Statistics and Informatics;No
191;Computational Biology and Bioinformatics;No
192;Control Science and Engineering;Yes
193;Industrial Engineering;Yes
194;International Journal of Computational and Theoretical Chemistry;No
195;International Journal of Data Science and Analysis;Yes
196;International Journal of Discrete Mathematics;No
